INFO: Keygen: creating primary...
INFO: Created ECC 0x0003 primary key
INFO: Created primary object with handle 80000000
INFO: Keygen 267: type 0001 | keybits 1024 | curve 0000 | duration 0.215065 | rc 0000
INFO: Keygen 268: type 0001 | keybits 1024 | curve 0000 | duration 1.619974 | rc 0000
INFO: Keygen 269: type 0001 | keybits 1024 | curve 0000 | duration 1.248102 | rc 0000
INFO: Keygen 270: type 0001 | keybits 1024 | curve 0000 | duration 0.711801 | rc 0000
INFO: Keygen 271: type 0001 | keybits 1024 | curve 0000 | duration 1.456323 | rc 0000
INFO: Keygen 272: type 0001 | keybits 1024 | curve 0000 | duration 1.063526 | rc 0000
INFO: Keygen 273: type 0001 | keybits 1024 | curve 0000 | duration 1.210060 | rc 0000
INFO: Keygen 274: type 0001 | keybits 1024 | curve 0000 | duration 0.689824 | rc 0000
INFO: Keygen 275: type 0001 | keybits 1024 | curve 0000 | duration 1.184300 | rc 0000
INFO: Keygen 276: type 0001 | keybits 1024 | curve 0000 | duration 1.953359 | rc 0000
INFO: Keygen 277: type 0001 | keybits 1024 | curve 0000 | duration 0.440050 | rc 0000
INFO: Keygen 278: type 0001 | keybits 1024 | curve 0000 | duration 1.476099 | rc 0000
INFO: Keygen 279: type 0001 | keybits 1024 | curve 0000 | duration 0.854103 | rc 0000
INFO: Keygen 280: type 0001 | keybits 1024 | curve 0000 | duration 0.297113 | rc 0000
INFO: Keygen 281: type 0001 | keybits 1024 | curve 0000 | duration 2.591741 | rc 0000
INFO: Keygen 282: type 0001 | keybits 1024 | curve 0000 | duration 1.291667 | rc 0000
INFO: Keygen 283: type 0001 | keybits 1024 | curve 0000 | duration 0.545046 | rc 0000
INFO: Keygen 284: type 0001 | keybits 1024 | curve 0000 | duration 0.670093 | rc 0000
INFO: Keygen 285: type 0001 | keybits 1024 | curve 0000 | duration 0.689647 | rc 0000
INFO: Keygen 286: type 0001 | keybits 1024 | curve 0000 | duration 0.897095 | rc 0000
INFO: Keygen 287: type 0001 | keybits 1024 | curve 0000 | duration 0.505101 | rc 0000
INFO: Keygen 288: type 0001 | keybits 1024 | curve 0000 | duration 0.979660 | rc 0000
INFO: Keygen 289: type 0001 | keybits 1024 | curve 0000 | duration 1.082116 | rc 0000
INFO: Keygen 290: type 0001 | keybits 1024 | curve 0000 | duration 1.248105 | rc 0000
INFO: Keygen 291: type 0001 | keybits 1024 | curve 0000 | duration 1.020053 | rc 0000
INFO: Keygen 292: type 0001 | keybits 1024 | curve 0000 | duration 1.559086 | rc 0000
